sent_ts,timestamp,latency_ms,status,error
1782388098.7162082,1782388099.157642,441.9712500530295,200,
1782388098.716675,1782388099.2381618,522.1198750077747,200,
1782388098.716817,1782388099.2513542,535.186082997825,200,
1782388098.720033,1782388099.2571058,537.7239169902168,200,
1782388098.716535,1782388099.292664,576.826834003441,200,
1782388098.716384,1782388099.3934069,677.841582975816,200,
1782388098.7197142,1782388099.39639,677.4941670009866,200,
1782388098.7159958,1782388099.448437,733.3262920146808,200,
1782388098.711756,1782388099.471422,760.584875009954,200,
1782388098.7201731,1782388099.5185978,799.3764590355568,200,
1782388098.719887,1782388099.573657,854.7995000262745,200,
1782388098.719483,1782388099.576395,857.9457500018179,200,
1782388098.7203069,1782388099.577397,858.1244999659248,200,
1782388098.7169511,1782388099.587677,871.7520830105059,200,
1782388098.717088,1782388099.607448,891.4346660021693,200,
1782388099.711113,1782388099.7962282,85.215832979884,200,
1782388099.713422,1782388099.800122,86.80320804705843,200,
1782388099.7119539,1782388099.850591,138.80004099337384,200,
1782388099.7170072,1782388099.8614988,144.6616670000367,200,
1782388099.714682,1782388099.907802,193.34383303066716,200,
1782388099.713048,1782388099.909953,197.1323339967057,200,
1782388099.71431,1782388099.930805,216.74562501721084,200,
1782388099.712641,1782388099.940832,228.4542919951491,200,
1782388099.7152379,1782388099.941791,226.81483399355784,200,
1782388099.713867,1782388099.942837,229.23537500901148,200,
1782388099.716115,1782388099.943846,227.99354197923094,200,
1782388099.717815,1782388099.945545,227.99208300421014,200,
1782388099.7165298,1782388099.969454,253.21558298310265,200,
1782388099.717432,1782388099.973429,256.2906669918448,200,
1782388099.715654,1782388099.978945,263.59475002391264,200,
1782388100.718873,1782388100.907727,189.05820802319795,200,
1782388100.711272,1782388100.9358761,224.84695800812915,200,
1782388100.716151,1782388100.936543,220.6301250262186,200,
1782388100.714327,1782388100.9557161,241.64979194756597,200,
1782388100.7167318,1782388100.957539,241.06729100458324,200,
1782388100.7172859,1782388100.961138,244.114333007019,200,
1782388100.7137868,1782388100.971581,258.07254103710875,200,
1782388100.713234,1782388100.97221,259.25525004277006,200,
1782388100.718355,1782388100.9746969,256.6188329947181,200,
1782388100.7126122,1782388100.984543,272.22404099302366,200,
1782388100.715602,1782388100.9901361,274.8295000055805,200,
1782388100.720469,1782388100.990774,270.5964169581421,200,
1782388100.7149692,1782388101.002298,287.63883298961446,200,
1782388100.719389,1782388101.017268,298.19820798002183,200,
1782388100.717823,1782388101.042751,325.2763749915175,200,
1782388101.7141602,1782388102.0438342,330.0047920201905,200,
1782388101.713748,1782388102.046338,332.9241669853218,200,
1782388101.712899,1782388102.281559,569.2280410439707,200,
1782388101.713322,1782388102.291588,578.8429999956861,200,
1782388101.711384,1782388102.302763,591.9696670025587,200,
1782388101.717473,1782388102.311286,594.4054999854416,200,
1782388101.719336,1782388102.313823,595.0806250330061,200,
1782388101.716915,1782388102.314761,598.4429999953136,200,
1782388101.718815,1782388102.352443,634.258541977033,200,
1782388101.719854,1782388102.3561459,636.9264170061797,200,
1782388101.714539,1782388102.3953621,681.5008749836124,200,
1782388101.715252,1782388102.397006,682.4335000128485,200,
1782388101.7159,1782388102.4025621,687.3471249709837,200,
1782388101.720486,1782388102.404333,684.5282499562018,200,
1782388101.716464,1782388102.405152,689.3755840137601,200,
1782388102.710895,1782388102.819028,108.23870898457244,200,
1782388102.7134972,1782388102.825037,111.64791701594368,200,
1782388102.7153668,1782388102.837394,122.14550003409386,200,
1782388102.720552,1782388102.945342,225.00391700305045,200,
1782388102.719606,1782388102.950648,231.25933395931497,200,
1782388102.716349,1782388102.976566,260.46229095663875,200,
1782388102.719073,1782388102.994519,275.7059999858029,200,
1782388102.7158852,1782388103.0021288,286.51350003201514,200,
1782388102.7141619,1782388103.005314,291.42670903820544,200,
1782388102.7174048,1782388103.01738,300.2569579984993,200,
1782388102.7147741,1782388103.0322702,317.7949169767089,200,
1782388102.717963,1782388103.0398211,322.1615409711376,200,
1782388102.716961,1782388103.041501,324.8459579772316,200,
1782388102.720103,1782388103.053886,334.0968749835156,200,
1782388102.7184498,1782388103.069031,350.911624962464,200,
1782388103.7109919,1782388103.8123379,101.43912502098829,200,
1782388103.71192,1782388103.8207989,108.97854104405269,200,
1782388103.713465,1782388103.8569422,143.60504102660343,200,
1782388103.716688,1782388103.9265542,210.05316701484844,200,
1782388103.7183402,1782388103.931184,213.0332500091754,200,
1782388103.713036,1782388103.979934,267.1347919967957,200,
1782388103.71245,1782388103.982193,269.9812080245465,200,
1782388103.717223,1782388104.024899,307.9479170264676,200,
1782388103.716196,1782388104.057815,341.9204169767909,200,
1782388103.7177138,1782388104.058323,340.9109999774955,200,
1782388103.71404,1782388104.0593762,345.6410000217147,200,
1782388103.715521,1782388104.0600278,344.8124169954099,200,
1782388103.714488,1782388104.060925,346.74358303891495,200,
1782388103.718909,1782388104.0737112,355.11525004403666,200,
1782388103.71503,1782388104.087094,372.39295803010464,200,
1782388104.711064,1782388104.776636,65.62808400485665,200,
1782388104.713541,1782388104.87801,164.60745898075402,200,
1782388104.711927,1782388104.923023,211.27100003650412,200,
1782388104.7143092,1782388105.0611799,347.1584170474671,200,
1782388104.7130141,1782388105.089024,376.32062495686114,200,
1782388104.716026,1782388105.11446,398.7629589973949,200,
1782388104.712451,1782388105.116238,404.1210410068743,200,
1782388104.715151,1782388105.11996,405.1435420406051,200,
1782388104.7170649,1782388105.141758,425.0433329725638,200,
1782388104.715488,1782388105.158219,443.09633399825543,200,
1782388104.716438,1782388105.161767,445.69608400342986,200,
1782388104.717519,1782388105.1652591,448.10962496558204,200,
1782388104.713956,1782388105.183881,470.31283302931115,200,
1782388104.718139,1782388105.184599,466.8459999957122,200,
1782388104.714761,1782388105.194119,479.7537080012262,200,
1782388105.712161,1782388105.79966,87.56945800269023,200,
1782388105.7137449,1782388105.825675,112.01916699064896,200,
1782388105.7113862,1782388105.849004,137.72654096828774,200,
1782388105.715026,1782388105.9087229,193.84775002254173,200,
1782388105.717097,1782388105.9196658,202.72745803231373,200,
1782388105.7176,1782388105.9209542,203.51349998963997,200,
1782388105.71327,1782388105.930933,217.83341700211167,200,
1782388105.714175,1782388105.945924,231.92962497705594,200,
1782388105.715925,1782388105.9478989,232.15475003235042,200,
1782388105.716715,1782388105.9564888,239.96179102687165,200,
1782388105.714591,1782388105.9585779,244.17633400298655,200,
1782388105.716341,1782388105.960444,244.29474998032674,200,
1782388105.7127192,1782388105.968777,256.2587090069428,200,
1782388105.7180228,1782388105.969476,251.64854200556874,200,
1782388105.715515,1782388105.978497,263.1880000117235,200,
1782388106.7117,1782388106.79331,81.67166699422523,200,
1782388106.712449,1782388106.793705,81.31562505150214,200,
1782388106.7137449,1782388106.809079,95.40479199495167,200,
1782388106.718453,1782388106.863574,145.22866701008752,200,
1782388106.7133079,1782388106.873929,160.73845804203302,200,
1782388106.7176378,1782388106.896929,179.4225840130821,200,
1782388106.715189,1782388106.898336,183.28104098327458,200,
1782388106.715738,1782388106.904454,188.85420798324049,200,
1782388106.716206,1782388106.906677,190.61170902568847,200,
1782388106.712885,1782388106.909429,196.6889169998467,200,
1782388106.716688,1782388106.910364,193.8186659826897,200,
1782388106.718038,1782388106.911166,193.27083398820832,200,
1782388106.7171478,1782388106.9200509,203.05229199584574,200,
1782388106.71469,1782388106.940864,226.33945802226663,200,
1782388106.714186,1782388106.972922,258.92525003291667,200,
1782388107.711626,1782388107.803332,91.76899999147281,200,
1782388107.716992,1782388107.8570628,140.16699994681403,200,
1782388107.712648,1782388107.8712902,158.75133301597089,200,
1782388107.714354,1782388107.903533,189.3091250094585,200,
1782388107.7162461,1782388107.9182699,202.16320804320276,200,
1782388107.71536,1782388107.93219,216.97808301541954,200,
1782388107.720096,1782388107.950513,230.57408299064264,200,
1782388107.7195468,1782388107.956346,236.9617089862004,200,
1782388107.717561,1782388107.978643,261.26083300914615,200,
1782388107.718548,1782388107.985585,267.22033304395154,200,
1782388107.720669,1782388107.988148,267.6617499673739,200,
1782388107.7190871,1782388107.9909172,272.0161249744706,200,
1782388107.713878,1782388107.991564,277.8766250121407,200,
1782388107.713353,1782388107.991827,278.6659160046838,200,
1782388107.718053,1782388108.008039,290.1847080211155,200,
1782388108.71119,1782388108.776939,65.79075002809986,200,
1782388108.713498,1782388108.8429708,129.5573340030387,200,
1782388108.712072,1782388108.86082,148.84420798625797,200,
1782388108.714423,1782388108.867678,153.35358399897814,200,
1782388108.712973,1782388108.900506,187.654624984134,200,
1782388108.717358,1782388108.9010618,183.82337497314438,200,
1782388108.7178051,1782388108.903208,185.5229579959996,200,
1782388108.7139971,1782388108.911006,197.1367079531774,200,
1782388108.71486,1782388108.915785,201.05429197428748,200,
1782388108.715713,1782388108.9287748,213.1990420166403,200,
1782388108.716137,1782388108.93393,217.9337500128895,200,
1782388108.7182012,1782388108.9345448,216.48316702339798,200,
1782388108.7168472,1782388108.9602182,243.52716701105237,200,
1782388108.7152882,1782388108.977959,262.83962500747293,200,
1782388108.7125351,1782388108.9852889,272.9290829738602,200,
1782388109.711444,1782388109.8150651,103.68450003443286,200,
1782388109.715013,1782388109.842022,127.08516605198383,200,
1782388109.713759,1782388109.9023948,188.74987500021234,200,
1782388109.71821,1782388109.932262,214.1809169552289,200,
1782388109.7141912,1782388109.94493,230.87741702329367,200,
1782388109.717369,1782388109.948354,231.1244999873452,200,
1782388109.715907,1782388109.9492118,233.4456659737043,200,
1782388109.7122161,1782388109.9501069,238.03495801985264,200,
1782388109.7154088,1782388109.950381,235.11545796645805,200,
1782388109.7164469,1782388109.952276,235.9712499892339,200,
1782388109.714599,1782388109.9546099,240.15608301851898,200,
1782388109.716935,1782388109.9552588,238.4689170285128,200,
1782388109.713194,1782388109.95573,242.68379103159532,200,
1782388109.717813,1782388109.961851,244.18579204939306,200,
1782388109.712787,1782388109.966769,254.13499999558553,200,
1782388110.712773,1782388110.8278039,115.09574996307492,200,
1782388110.711874,1782388110.833757,121.95349996909499,200,
1782388110.714507,1782388110.911395,196.99983403552324,200,
1782388110.7171898,1782388110.977121,260.07724995724857,200,
1782388110.7191942,1782388111.003901,284.8665830097161,200,
