sent_ts,timestamp,latency_ms,status,error
1782389052.280146,1782389052.648897,368.7505829730071,200,
1782389052.2804322,1782389052.655854,375.42137497803196,200,
1782389052.2802901,1782389052.661165,380.8756250073202,200,
1782389052.279454,1782389052.839187,559.7344159614295,200,
1782389052.2742882,1782389052.840193,565.9072080161422,200,
1782389052.279843,1782389052.857939,578.0983329750597,200,
1782389052.280714,1782389052.859027,578.3147920155898,200,
1782389052.28,1782389052.862009,582.0116249960847,200,
1782389052.2805738,1782389052.863181,582.6095420052297,200,
1782389052.279681,1782389052.8712058,591.5265830117278,200,
1782389053.274633,1782389053.3685372,93.90345797874033,200,
1782389053.276837,1782389053.441503,164.66575005324557,200,
1782389053.277314,1782389053.493927,216.61225002026185,200,
1782389053.279689,1782389053.495192,215.50416701938957,200,
1782389053.276173,1782389053.505777,229.6024999814108,200,
1782389053.277854,1782389053.513521,235.66674999892712,200,
1782389053.278406,1782389053.514494,236.08858295483515,200,
1782389053.2789912,1782389053.519349,240.35841698059812,200,
1782389053.280926,1782389053.51986,238.93479094840586,200,
1782389053.280185,1782389053.529068,248.88345797080547,200,
1782389054.275947,1782389054.360286,84.33654095279053,200,
1782389054.277002,1782389054.422591,145.58925002347678,200,
1782389054.278614,1782389054.4488268,170.21204199409112,200,
1782389054.279386,1782389054.510248,230.8611249900423,200,
1782389054.276672,1782389054.523254,246.58149998867884,200,
1782389054.277309,1782389054.540504,263.1951660150662,200,
1782389054.2763362,1782389054.541196,264.8589159944095,200,
1782389054.2789419,1782389054.5451741,266.2320419913158,200,
1782389054.275041,1782389054.5463,271.2592919706367,200,
1782389054.278253,1782389054.580106,301.8522089696489,200,
1782389054.277859,1782389054.609956,332.09766703657806,200,
1782389055.27779,1782389055.3442292,66.43662496935576,200,
1782389055.275601,1782389055.353732,78.12966697383672,200,
1782389055.2763479,1782389055.3813062,104.95583299780264,200,
1782389055.278881,1782389055.389089,110.20749999443069,200,
1782389055.2800121,1782389055.459114,179.10104198381305,200,
1782389055.27685,1782389055.460871,184.02062496170402,200,
1782389055.279237,1782389055.464693,185.4552500299178,200,
1782389055.2772639,1782389055.470289,193.0247080163099,200,
1782389055.2785048,1782389055.47157,193.0645420216024,200,
1782389055.279694,1782389055.4817321,202.03824999043718,200,
1782389055.278143,1782389055.509176,231.03341698879376,200,
1782389056.280155,1782389056.3963652,116.20883399154991,200,
1782389056.27914,1782389056.4017768,122.63604201143607,200,
1782389056.2778208,1782389056.411102,133.27212497824803,200,
1782389056.276835,1782389056.4465978,169.76191598223522,200,
1782389056.278232,1782389056.460053,181.82008399162441,200,
1782389056.2817621,1782389056.48297,201.20829198276624,200,
1782389056.2794838,1782389056.4883358,208.85229198029265,200,
1782389056.2797928,1782389056.49889,219.09608400892466,200,
1782389056.2808828,1782389056.503627,222.7430830243975,200,
1782389056.281225,1782389056.540549,259.3245409661904,200,
1782389056.28053,1782389056.5528011,272.27199997287244,200,
1782389056.2787788,1782389056.5575528,278.77379197161645,200,
1782389057.279537,1782389057.377741,98.20279100676998,200,
1782389057.2781599,1782389057.398485,120.32350001391023,200,
1782389057.281148,1782389057.443599,162.45062503730878,200,
1782389057.280193,1782389057.48841,208.21504201740026,200,
1782389057.28063,1782389057.490143,209.51287500793114,200,
1782389057.286465,1782389057.495494,209.02775001013651,200,
1782389057.284534,1782389057.52481,240.27558299712837,200,
1782389057.28212,1782389057.526804,244.68462500954047,200,
1782389057.283783,1782389057.532471,248.68650001008064,200,
1782389057.2850509,1782389057.53511,250.05875003989786,200,
1782389057.285891,1782389057.545235,259.34470898937434,200,
1782389057.282887,1782389057.573716,290.82975001074374,200,
1782389058.280299,1782389058.382004,101.70445899711922,200,
1782389058.286305,1782389058.450798,164.49229198042303,200,
